,屋名,地址,1)永慶房屋物件編號,2)售價,3)建物面積,4)屋齡,5)房(室),站名,6)物件與最近捷運站(已正式營運)的距離
0,士林邊間方正透天,台北市士林區雨聲街,YC1148130,"6,500 萬",建物 63.00坪,45.6年            ,5房(室)5廳2衛            ,捷運芝山站出口1, 777 
0,置產自用面寬一樓,台北市士林區承德路四段,YC1171627,"1,080 萬",建物 10.75坪,50.7年            ,1房(室)1廳1衛            ,捷運劍潭站出口2, 370 
0,大降價車庫樓中樓,台北市士林區天玉街,YC1142489,"5,480 萬",建物 85.38坪,44.3年            ,6房(室)2廳3衛            ,沒有捷運站,NONE
0,白雲山莊管理三房,台北市士林區仰德大道三段,YC1094571,"1,750 萬",建物 46.95坪,44.5年            ,4房(室)3廳3衛            ,沒有捷運站,NONE
0,天母商圈金店面,台北市士林區天母北路,YC1002865,"3,560 萬",建物 47.65坪,39.7年            ,2房(室)2廳2衛            ,沒有捷運站,NONE
0,社區庭院邊間美寓,台北市士林區中山北路七段,YC1119581,"2,580 萬",建物 47.70坪,35.5年            ,2房(室)2廳2衛            ,規劃中或未通車,NONE
0,稀有上市黃金三樓,台北市士林區中山北路七段,YC1143445,"1,780 萬",建物 28.36坪,44.6年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,天玉極美裝潢雅築,台北市士林區天玉街,YC1170984,"2,800 萬",建物 33.42坪,44.1年            ,4房(室)3廳2衛            ,沒有捷運站,NONE
0,正大馬路貨梯廠辦,台北市士林區福港街,YC1141787,"17,900 萬",建物 353.47坪,44.6年            ,0房(室)0廳10衛            ,規劃中或未通車,NONE
0,水岸採光方正大戶,台北市士林區承德路四段,YC1091671,"2,176 萬",建物 33.45坪,46.0年            ,3房(室)3廳2衛            ,捷運劍潭站出口2, 688 
0,翠山公園景觀一樓,台北市士林區翠山街,YC996142,"2,250 萬",建物 31.38坪,47.2年            ,3房(室)2廳2衛            ,沒有捷運站,NONE
0,福林國小方正四房,台北市士林區福志路,YC1166333,"2,280 萬",建物 42.89坪,39.5年            ,4房(室)2廳2.5衛            ,捷運士林站出口1, 756 
0,磺溪邊間美妝二樓,台北市士林區天母北路,YC1165207,"2,100 萬",建物 24.76坪,50.8年            ,2房(室)2廳1衛            ,沒有捷運站,NONE
0,綠意公園方正3樓,台北市士林區承德路四段,YC1126055,"1,880 萬",建物 26.39坪,41.7年            ,5房(室)0廳5衛            ,捷運士林站出口1, 753 
0,中正方正採光三樓,台北市士林區中正路,YC1118693,"1,688 萬",建物 22.35坪,42.5年            ,2房(室)2廳1衛            ,規劃中或未通車,NONE
0,通河西街稀有二樓,台北市士林區通河西街二段,YC1117290,"1,450 萬",建物 19.80坪,51.8年            ,2房(室)2廳1衛            ,沒有捷運站,NONE
0,士東國小庭園一樓,台北市士林區士東路,YC1140531,"3,990 萬",建物 36.28坪,38.0年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,近社子市場公寓,台北市士林區社中街,YC1122485,"1,398 萬",建物 31.10坪,41.2年            ,3房(室)1廳1衛            ,規劃中或未通車,NONE
0,百齡國小大空間,台北市士林區福港街,YC1126351,"2,180 萬",建物 36.81坪,46.3年            ,5房(室)3廳4衛            ,捷運劍潭站出口2, 776 
